Population: 256
Generation: 0



Species: 30.6803  offsprings: 95  size: 148
fitness: 0.0555202  complexity: 6  size: 7
fitness: 0.100319  complexity: 6  size: 7
fitness: 0.13449  complexity: 6  size: 7
fitness: 0.177591  complexity: 6  size: 7
fitness: 0.233333  complexity: 6  size: 7
fitness: 0.357304  complexity: 6  size: 7
fitness: 0.425354  complexity: 6  size: 7
fitness: 0.434966  complexity: 6  size: 7
fitness: 0.550426  complexity: 6  size: 7
fitness: 0.56347  complexity: 6  size: 7
fitness: 0.581746  complexity: 6  size: 7
fitness: 0.62076  complexity: 6  size: 7
fitness: 0.643506  complexity: 6  size: 7
fitness: 0.804573  complexity: 6  size: 7
fitness: 0.860921  complexity: 6  size: 7
fitness: 0.876279  complexity: 6  size: 7
fitness: 0.910299  complexity: 6  size: 7
fitness: 0.997771  complexity: 6  size: 7
fitness: 1.05227  complexity: 6  size: 7
fitness: 1.06529  complexity: 6  size: 7
fitness: 1.14603  complexity: 6  size: 7
fitness: 1.15534  complexity: 6  size: 7
fitness: 1.27949  complexity: 6  size: 7
fitness: 1.45638  complexity: 6  size: 7
fitness: 1.61318  complexity: 6  size: 7
fitness: 1.6797  complexity: 6  size: 7
fitness: 1.88622  complexity: 6  size: 7
fitness: 2.04367  complexity: 6  size: 7
fitness: 2.14446  complexity: 6  size: 7
fitness: 2.19684  complexity: 6  size: 7
fitness: 2.3684  complexity: 6  size: 7
fitness: 2.73624  complexity: 6  size: 7
fitness: 2.89155  complexity: 6  size: 7
fitness: 2.9853  complexity: 6  size: 7
fitness: 3.0194  complexity: 6  size: 7
fitness: 3.03396  complexity: 6  size: 7
fitness: 3.05092  complexity: 6  size: 7
fitness: 3.09394  complexity: 6  size: 7
fitness: 3.28555  complexity: 6  size: 7
fitness: 3.55717  complexity: 6  size: 7
fitness: 3.68814  complexity: 6  size: 7
fitness: 3.87531  complexity: 6  size: 7
fitness: 4.03117  complexity: 6  size: 7
fitness: 4.26706  complexity: 6  size: 7
fitness: 4.60813  complexity: 6  size: 7
fitness: 4.61925  complexity: 6  size: 7
fitness: 4.93482  complexity: 6  size: 7
fitness: 5.60932  complexity: 6  size: 7
fitness: 5.83891  complexity: 6  size: 7
fitness: 6.08964  complexity: 6  size: 7
fitness: 6.1156  complexity: 6  size: 7
fitness: 6.13481  complexity: 6  size: 7
fitness: 6.39176  complexity: 6  size: 7
fitness: 6.42501  complexity: 6  size: 7
fitness: 6.91653  complexity: 6  size: 7
fitness: 7.02283  complexity: 6  size: 7
fitness: 7.06969  complexity: 6  size: 7
fitness: 8.19183  complexity: 6  size: 7
fitness: 9.39002  complexity: 6  size: 7
fitness: 9.63598  complexity: 6  size: 7
fitness: 10.0804  complexity: 6  size: 7
fitness: 10.1434  complexity: 6  size: 7
fitness: 10.5842  complexity: 6  size: 7
fitness: 10.846  complexity: 6  size: 7
fitness: 11.3138  complexity: 6  size: 7
fitness: 11.4465  complexity: 6  size: 7
fitness: 11.6454  complexity: 6  size: 7
fitness: 11.7186  complexity: 6  size: 7
fitness: 11.8407  complexity: 6  size: 7
fitness: 11.9208  complexity: 6  size: 7
fitness: 11.9281  complexity: 6  size: 7
fitness: 11.953  complexity: 6  size: 7
fitness: 12.0797  complexity: 6  size: 7
fitness: 12.0892  complexity: 6  size: 7
fitness: 12.104  complexity: 6  size: 7
fitness: 12.1669  complexity: 6  size: 7
fitness: 12.6337  complexity: 6  size: 7
fitness: 12.6758  complexity: 6  size: 7
fitness: 12.6976  complexity: 6  size: 7
fitness: 13.4616  complexity: 6  size: 7
fitness: 13.7326  complexity: 6  size: 7
fitness: 13.8579  complexity: 6  size: 7
fitness: 14.3805  complexity: 6  size: 7
fitness: 15.3717  complexity: 6  size: 7
fitness: 15.9688  complexity: 6  size: 7
fitness: 16.3221  complexity: 6  size: 7
fitness: 16.5008  complexity: 6  size: 7
fitness: 16.9308  complexity: 6  size: 7
fitness: 17.3668  complexity: 6  size: 7
fitness: 18.0227  complexity: 6  size: 7
fitness: 18.2136  complexity: 6  size: 7
fitness: 18.3463  complexity: 6  size: 7
fitness: 18.4295  complexity: 6  size: 7
fitness: 18.7688  complexity: 6  size: 7
fitness: 19.2345  complexity: 6  size: 7
